port,espece_categorie,ca_2024_kdh,ca_2025_kdh,vol_2024_t,vol_2025_t,delegation,ca_diff_kdh,reduction_pct
CAPI SIDIIFNI,POISSON PELAGIQUE,190141.58658,77918.1805,60521.229999999996,21327.296000000002,GON,-112223.40608,-59.02096858373653
HALLE SAFI,POISSON BLANC,57405.118619999994,57054.04533000001,1078.4245,1002.2234900000002,MARRAKECH SAFI,-351.0732899999857,-0.6115714041529242
HALLE SAFI,CRUSTACES,6602.07,2238.37382,89.5348,21.3891,MARRAKECH SAFI,-4363.69618,-66.09587871682669
HALLE SAFI,POISSON PELAGIQUE,1105.4986,1987.84792,139.2098,209.4819,MARRAKECH SAFI,882.34932,79.81460311211612
HALLE SAFI,CEPHALOPODES,91326.45765,112556.25938000002,1173.1034000000002,1216.0158000000004,MARRAKECH SAFI,21229.80173000002,23.246058454781227
HALLE SAFI,ALGUES,2833.272,2671.2,944.424,890.4,MARRAKECH SAFI,-162.07200000000012,-5.720312063225844
HALLE SAFI,COQUILLAGES,0.0,9.9,0.0,0.66,MARRAKECH SAFI,9.9,0.0
HALLE AMTAR,CEPHALOPODES,3228.3321299999993,2155.5570000000002,41.8005,24.141000000000002,TANGER TETOUAN AL HCOEIMA,-1072.775129999999,-33.23001125042234
HALLE AMTAR,POISSON BLANC,102.66333,98.086,6.542,3.8644999999999996,TANGER TETOUAN AL HCOEIMA,-4.5773300000000035,-4.458583215642823
HALLE AMTAR,COQUILLAGES,0.0,527.8380000000001,0.0,79.43599999999999,TANGER TETOUAN AL HCOEIMA,527.8380000000001,0.0
HALLE AMTAR,POISSON PELAGIQUE,97.235,122.17000000000002,6.819999999999999,12.317000000000002,TANGER TETOUAN AL HCOEIMA,24.935000000000016,25.64405820949248
HALLE AMTAR,CRUSTACES,0.5,0.0,0.005,0.0,TANGER TETOUAN AL HCOEIMA,-0.5,-100.0
MG MARRAKECH,POISSON BLANC,21537.225,22163.792999999998,2835.181,3099.345,MARRAKECH SAFI,626.5679999999993,2.909232735415075
MG MARRAKECH,CEPHALOPODES,883.0080000000002,553.24,30.520000000000003,32.464999999999996,MARRAKECH SAFI,-329.76800000000014,-37.34598101036458
MG MARRAKECH,POISSON PELAGIQUE,63143.86899999999,65002.94500000001,16208.417999999998,16508.589,MARRAKECH SAFI,1859.0760000000155,2.944190828724822
MG MARRAKECH,CRUSTACES,3081.7599999999998,2134.0,77.52399999999999,53.494,MARRAKECH SAFI,-947.7599999999998,-30.75385494003426
HALLE TARFAYA,CEPHALOPODES,180409.10554999998,193406.17008000004,2516.8431000000005,2399.5605000000005,LAAYOUNE SAKIA LHAMRA,12997.064530000061,7.204217597763077
HALLE TARFAYA,POISSON PELAGIQUE,30862.05995,43028.70164,2610.9520999999995,3140.0587,LAAYOUNE SAKIA LHAMRA,12166.64169,39.42264939447116
HALLE TARFAYA,CRUSTACES,2016.98633,2068.766,90.5204,115.69899999999998,LAAYOUNE SAKIA LHAMRA,51.779670000000124,2.567180016534873
